"feature","sign_fscore","sign_fscore_0_1","variance","corr","mi_score","boruta_rank"
"is_rear_window_washer_No",0.865986621134328,0,0.205714493485567,-0.000779499310781599,0,0
"is_rear_window_defogger_No",0.77436042871529,0,0.227928151059495,-0.00132416262932285,0,0
"is_esc_No",0.757302900105742,0,0.215613671724659,-0.00142739075427156,0,0
"segment_C2",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"model_M4",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"max_torque_250Nm.2750rpm",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"max_power_113.45bhp.4000rpm",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"is_tpms_Yes",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"rear_brakes_type_Disc",0.737440131257778,0,0.182431401877152,-0.00154850463425694,0,0
"is_parking_camera_Yes",0.69424358332447,0,0.238266237027991,-0.00181574955063971,0,0
"model_M11",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"max_torque_170Nm.4000rpm",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"max_power_118.36bhp.5500rpm",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"is_speed_alert_No",0.150253507930767,0,0.00644368438607229,-0.00664502348958692,0,0
"segment_B1",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"model_M8",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"max_torque_82.1Nm.3400rpm",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"max_power_55.92bhp.5300rpm",0.121328406798904,0,0.0666373860636601,-0.00715580094498338,0,0
"is_power_door_locks_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"is_central_locking_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"is_ecw_No",0.0954651834030653,0,0.199666144394625,-0.007700942237153,0,0
"model_M3",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"max_torque_91Nm.4250rpm",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"max_power_67.06bhp.5500rpm",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"is_parking_sensors_No",0.0943449294642471,0,0.0386182407593386,-0.00772709788311789,0,0
"model_M1",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"max_torque_60Nm.3500rpm",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"max_power_40.36bhp.6000rpm",0.0802007893506696,0,0.190077123782166,-0.00808095302202392,0,0
"is_day_night_rear_view_mirror_No",0.0208536164681677,1,0.235141862724597,-0.0106725248205493,0,0
"region_density",7.36277532376088e-05,1,312307634.937706,-0.010766179747247,0,0
"region_density_sqrt",0.000880416082990293,1,3332.53028750369,-0.010766179747247,0,0
"segment_A",0.016738098892083,1,0.208158258445823,-0.0110502649647741,0,0
"fuel_type_CNG",0.0161937350297042,1,0.226726669745658,-0.0111061912190691,0,0
"is_brake_assist_No",0.0161639951174825,1,0.247746942385785,-0.0111092939477966,0,0
"is_driver_seat_height_adjustable_No",0.015704976244744,1,0.242883914620102,-0.0111578306623813,0,0
"is_front_fog_lights_No",0.00818544921571416,1,0.243936484078859,-0.0122137357632916,0,0
"steering_type_Power",0.004053146513183,1,0.244598782348866,-0.0132744692985151,0,0
"is_adjustable_steering_No",0.00114552976975043,1,0.238800903977672,-0.0150207115052163,0,0
